figure_id,manuscript_id,title,caption,file,width_px,height_px,source_status
Fig01,Fig. 1,Workflow,Fig. 1. Workflow for reliable supraglacial lake WSE time-series construction and volume estimation.,Fig01_Workflow.png,1854,1735,manuscript_embedded_only
Fig02,Fig. 2,SWOT–ICESat-2 WSE validation,Fig. 2. Validation of SWOT supraglacial lake WSE against ICESat-2. (a) Absolute PIXC–ICESat-2 WSE differences. (b) Absolute Raster–ICESat-2 WSE differences. (c) Water-level uncertainty across products.,Fig02_SWOT_ICESat_2_WSE_validation.png,2957,844,manuscript_embedded_only
Fig03,Fig. 3,Spatial WSE variability and lake behaviours,"Fig. 3. Spatial distribution of reliable supraglacial lake WSE variability and classified lake behaviors in the northeastern (a) and southwestern (b) study regions. Fill colors show the maximum observed WSE difference, and lake outlines denote the classified behavior. Yellow lakes have no reliable WSE time series.",Fig03_Spatial_WSE_variability_and_lake_behaviours.png,2120,1520,manuscript_embedded_only
Fig04,Fig. 4,Northeastern Greenland relative WSE curves,Fig. 4. Relative WSE time series of supraglacial lakes in the northeastern study region. (a) All reliable WSE time series; (b) representative WSE time series for different lake behaviours.,Fig04_Northeastern_Greenland_relative_WSE_curves.png,4000,3100,existing_final_png
Fig05,Fig. 5,Southwestern Greenland relative WSE curves,Fig. 5. Relative WSE time series of supraglacial lakes in the southwestern study region. (a) All reliable WSE time series; (b) representative WSE time series for different lake behaviours.,Fig05_Southwestern_Greenland_relative_WSE_curves.png,4000,3100,existing_final_png
Fig06a,Fig. 6 (part 1),"Lake 1 SWOT SLC phase and WSE QC, first six dates","Fig. 6. Radar signatures and quality control of SWOT WSE retrievals for supraglacial lake 1. Rows show observations acquired on 28 June and 2, 8, 13, 16, and 23 July 2024. Columns show S2 imagery overlaid with SWOT PIXC, interferometric phase, σ0, and coherence. The bottom panel shows the corresponding reliable WSE time series. Filled circles indicate valid observations, crosses indicate noisy observations.",Fig06a_Lake_1_SWOT_SLC_phase_and_WSE_QC_first_six_dates.png,2481,4206,existing_final_png
Fig06b,Fig. 6 (continued),"Lake 1 SWOT SLC phase and WSE QC, second six dates","Fig. 6. (continued). Rows show observations acquired on 26–28 July and 3, 9, and 14 August 2024. Columns show S2 imagery overlaid with SWOT PIXC, interferometric phase, σ0, and coherence. The bottom panel shows the corresponding reliable WSE time series. Filled circles indicate valid observations, crosses indicate noisy observations.",Fig06b_Lake_1_SWOT_SLC_phase_and_WSE_QC_second_six_dates.png,2481,4206,existing_final_png
Fig07,Fig. 7,"Representative lake WSE, area–WSE fits, and water frequency","Fig. 7. WSE and area time series, supraglacial lake area–WSE relationships, and water-coverage counts of representative supraglacial lakes. The first column shows the WSE and area time series, the second shows the fitted area–WSE relationships, and the third shows the spatial distribution of water-coverage counts during the observation period.",Fig07_Representative_lake_WSE_area_WSE_fits_and_water_frequency.png,4672,9780,existing_final_png
Fig08,Fig. 8,Representative DEM catchments and drainage networks,"Fig. 8. Representative supraglacial lakes and their DEM-derived catchments and drainage networks: (a) Lakes 1–3, (b) Lake 6, (c) Lake 5, and (d) Lake 4. Red lines show maximum lake extents, light pink lines show the maximum extents of other supraglacial lakes, black lines show catchment boundaries, blue lines show DEM-derived drainage networks, and gray dashed lines indicate surface elevation contours.",Fig08_Representative_DEM_catchments_and_drainage_networks.png,4870,3982,high_resolution_source_outside_final_folder
Fig09,Fig. 9,Representative lake volume change and catchment-normalized rates,"Fig. 9. Time series of lake volume change for six representative supraglacial lakes. Black lines show relative lake volume changes. For Lakes 1 and 2, grey shaded areas show the volume changes of the two individual lake units before merging. Dashed lines indicate fitted infilling or drainage periods. Black labels show volume-change rates, and red labels show the corresponding catchment-normalized rates.",Fig09_Representative_lake_volume_change_and_catchment_normalized_rates.png,4793,6641,existing_final_png
FigS01,Fig. S1,Northeastern Greenland cloud-gap temporal coverage,"Fig. S1. Temporal evolution of supraglacial lake area and SWOT WSE observations that fill cloud-related gaps in the northeastern study region. Lakes are ordered by elevation. Grey crosses indicate S2 observations affected by cloud cover, while purple dots indicate valid SWOT WSE observations affected by cloud cover, and purple dots indicate valid SWOT WSE observations acquired on those dates, highlighting the additional temporal coverage provided by SWOT.",FigS01_Northeastern_Greenland_cloud_gap_temporal_coverage.png,3696,4531,existing_final_png
FigS02,Fig. S2,Southwestern Greenland cloud-gap temporal coverage,"Fig. S2. Temporal evolution of supraglacial lake area and SWOT WSE observations that fill cloud-related gaps in the southwestern study region. Lakes are ordered by elevation. Gray crosses indicate S2 observations affected by cloud cover, and purple dots indicate valid SWOT WSE observations acquired on those dates, highlighting the additional temporal coverage provided by SWOT.",FigS02_Southwestern_Greenland_cloud_gap_temporal_coverage.png,4408,6226,existing_final_png
